id,drug_names,drugbank_identifier,pubchem_identifier,conditions,ICD_top_level_name,drugbank_id_A,drugbank_id_B,drugA,drugB,Combination_Count
NCT00000134,"[[""foscarnet"", ""Foscavir""], [""ganciclovir"", ""Cytovene""]]","[""DB00529"", ""DB01004""]","[""-1"", ""-1""]",hiv infections,Diseases of the genitourinary system,DB00529,DB01004,"['foscarnet', 'Foscavir']","['ganciclovir', 'Cytovene']",4
NCT00000134,"[[""foscarnet"", ""Foscavir""], [""ganciclovir"", ""Cytovene""]]","[""DB00529"", ""DB01004""]","[""-1"", ""-1""]",cytomegalovirus retinitis,Disorders of the visual organs,DB00529,DB01004,"['foscarnet', 'Foscavir']","['ganciclovir', 'Cytovene']",3
NCT00000372,"[[""cycloserine""], [""clozapine""]]","[""DB00260"", ""DB00363""]","[""CID6234"", ""CID2818""]",schizophrenia,Schizophrenia or other primary psychotic disorders,DB00260,DB00363,['cycloserine'],['clozapine'],1
NCT00000400,"[[""PTH protein, human"", ""teriparatide""], [""alendronate"", ""Fosamax""]]","[""DB06285"", ""DB00630""]","[""CID16133850"", ""CID2088""]",osteoporosis,Osteopathies or chondropathies,DB06285,DB00630,"['PTH protein, human', 'teriparatide']","['alendronate', 'Fosamax']",5
NCT00000451,"[[""sertraline"", ""Zoloft""], [""naltrexone"", ""ReVia""]]","[""DB01104"", ""DB00704""]","[""CID68617"", ""CID5360515""]",alcoholism,Disorders due to substance use or addictive behaviours,DB01104,DB00704,"['sertraline', 'Zoloft']","['naltrexone', 'ReVia']",3
NCT00000512,"[[""colestipol"", ""Colestid""], [""lovastatin"", ""Mevacor""]]","[""DB00375"", ""DB00227""]","[""CID62816"", ""CID53232""]",cardiovascular diseases,Diseases of the circulatory system,DB00375,DB00227,"['colestipol', 'Colestid']","['lovastatin', 'Mevacor']",4
NCT00000512,"[[""colestipol"", ""Colestid""], [""lovastatin"", ""Mevacor""]]","[""DB00375"", ""DB00227""]","[""CID62816"", ""CID53232""]",coronary arteriosclerosis,Chronic ischaemic heart disease,DB00375,DB00227,"['colestipol', 'Colestid']","['lovastatin', 'Mevacor']",1
NCT00000948,"[[""artesunate""], [""aldesleukin""]]","[""DB09274"", ""DB00041""]","[""CID6917864"", ""-1""]",hiv infections,Diseases of the genitourinary system,DB09274,DB00041,['artesunate'],['aldesleukin'],1
NCT00001481,"[[""estradiol""], [""progesterone""]]","[""DB00783"", ""DB00396""]","[""CID5757"", ""CID5994""]",postpartum depression,Symptomatic and course presentations for mood episodes in mood disorders,DB00783,DB00396,['estradiol'],['progesterone'],1
NCT00001626,"[[""cyclosporine""], [""lymphocyte immune globulin, anti-thymocyte globulin""]]","[""DB00091"", ""DB09312""]","[""CID5284373"", ""-1""]",severe aplastic anemia (saa),Anaemias or other erythrocyte disorders,DB00091,DB09312,['cyclosporine'],"['lymphocyte immune globulin, anti-thymocyte globulin']",2
NCT00001626,"[[""cyclosporine""], [""cyclophosphamide""]]","[""DB00091"", ""DB00531""]","[""CID5284373"", ""-1""]",severe aplastic anemia (saa),Anaemias or other erythrocyte disorders,DB00091,DB00531,['cyclosporine'],['cyclophosphamide'],4
NCT00001832,"[[""cyclophosphamide"", ""cytoxan""], [""fludarabine"", ""Fludara""]]","[""DB00531"", ""DB01073""]","[""CID2907"", ""CID30751""]",melanoma,Malignant neoplasms involving the skin,DB00531,DB01073,"['cyclophosphamide', 'cytoxan']","['fludarabine', 'Fludara']",72
NCT00001832,"[[""cyclophosphamide"", ""cytoxan""], [""fludarabine"", ""Fludara""]]","[""DB00531"", ""DB01073""]","[""CID2907"", ""CID30751""]",neoplasm metastasis,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00531,DB01073,"['cyclophosphamide', 'cytoxan']","['fludarabine', 'Fludara']",105
NCT00001880,"[[""cyclosporine"", ""cyclosporine""], [""methotrexate"", ""methotrexate""]]","[""DB00091"", ""DB00563""]","[""CID5284373"", ""CID126941""]",neoplasm metastasis,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00091,DB00563,"['cyclosporine', 'cyclosporine']","['methotrexate', 'methotrexate']",1
NCT00002550,"[[""cisplatin""], [""etoposide""]]","[""DB00515"", ""DB00773""]","[""-1"", ""-1""]",lung cancer,Neoplasms of the respiratory system,DB00515,DB00773,['cisplatin'],['etoposide'],54
NCT00002583,"[[""cisplatin""], [""vinorelbine""]]","[""DB00515"", ""DB00361""]","[""-1"", ""CID60780""]",lung cancer,Neoplasms of the respiratory system,DB00515,DB00361,['cisplatin'],['vinorelbine'],11
NCT00002593,"[[""levamisole hydrochloride"", ""levamisole""], [""fluorouracil"", ""fluorouracil"", ""fluorouracil""]]","[""DB00848"", ""DB00544""]","[""CID27944"", ""-1""]",colorectal cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00848,DB00544,"['levamisole hydrochloride', 'levamisole']","['fluorouracil', 'fluorouracil', 'fluorouracil']",1
NCT00002594,"[[""cyclophosphamide"", ""cytoxan"", ""Investigational New Drugs""], [""melphalan"", ""melphalan"", ""melphalan"", ""melphalan"", ""Alkeran""]]","[""DB00531"", ""DB01042""]","[""CID2907"", ""-1""]",brain tumor,Neoplasms of brain or central nervous system,DB00531,DB01042,"['cyclophosphamide', 'cytoxan', 'Investigational New Drugs']","['melphalan', 'melphalan', 'melphalan', 'melphalan', 'Alkeran']",2
NCT00002610,"[[""etoposide"", ""VP-16""], [""carboplatin"", ""carboplatin""]]","[""DB00773"", ""DB00958""]","[""CID36462"", ""-1""]",kidney cancer,Diseases of the urinary system,DB00773,DB00958,"['etoposide', 'VP-16']","['carboplatin', 'carboplatin']",1
NCT00002649,"[[""etoposide"", ""VP-16"", ""VP-16"", ""etoposide""], [""cyclophosphamide"", ""cytoxan"", ""Endoxan"", ""cyclophosphamide"", ""cyclophosphamide""]]","[""DB00773"", ""DB00531""]","[""CID36462"", ""CID2907""]",recurrent adult burkitt lymphoma,Neoplasms,DB00773,DB00531,"['etoposide', 'VP-16', 'VP-16', 'etoposide']","['cyclophosphamide', 'cytoxan', 'Endoxan', 'cyclophosphamide', 'cyclophosphamide']",48
NCT00002651,"[[""bicalutamide""], [""goserelin""]]","[""DB01128"", ""DB00014""]","[""CID2375"", ""CID5311128""]",prostate cancer,Diseases of the male genital system,DB01128,DB00014,['bicalutamide'],['goserelin'],7
NCT00002678,"[[""prednisone""], [""melphalan""]]","[""DB00635"", ""DB01042""]","[""-1"", ""-1""]",multiple myeloma and plasma cell neoplasm,Neoplasms,DB00635,DB01042,['prednisone'],['melphalan'],1
NCT00002779,"[[""fludarabine""], [""octreotide acetate""]]","[""DB01073"", ""DB00104""]","[""-1"", ""CID6917964""]",lymphoma,Neoplasms,DB01073,DB00104,['fludarabine'],['octreotide acetate'],1
NCT00002832,"[[""decitabine"", ""Dacogen""], [""cyclosporine"", ""cyclosporine"", ""Sandimmune"", ""cyclosporine""]]","[""DB01262"", ""DB00091""]","[""CID451668"", ""CID5284373""]",leukemia,Neoplasms,DB01262,DB00091,"['decitabine', 'Dacogen']","['cyclosporine', 'cyclosporine', 'Sandimmune', 'cyclosporine']",2
NCT00002850,"[[""ciprofloxacin"", ""Cipro""], [""ofloxacin"", ""Floxin""]]","[""DB00537"", ""DB01165""]","[""CID2764"", ""CID149096""]",infection,Certain infectious or parasitic diseases,DB00537,DB01165,"['ciprofloxacin', 'Cipro']","['ofloxacin', 'Floxin']",1
NCT00002850,"[[""ciprofloxacin"", ""Cipro""], [""ofloxacin"", ""Floxin""]]","[""DB00537"", ""DB01165""]","[""CID2764"", ""CID149096""]",multiple myeloma,Neoplasms,DB00537,DB01165,"['ciprofloxacin', 'Cipro']","['ofloxacin', 'Floxin']",1
NCT00002852,"[[""paclitaxel"", ""Asotax"", ""taxol"", ""paclitaxel"", ""Anzatax""], [""carboplatin"", ""Paraplatin"", ""Carboplat"", ""carboplatin"", ""JM-8"", ""Paraplatin""]]","[""DB01229"", ""DB00958""]","[""CID36314"", ""CID10339178""]",adenocarcinoma of the lung,Neoplasms of the respiratory system,DB01229,DB00958,"['paclitaxel', 'Asotax', 'taxol', 'paclitaxel', 'Anzatax']","['carboplatin', 'Paraplatin', 'Carboplat', 'carboplatin', 'JM-8', 'Paraplatin']",245
NCT00002944,"[[""carboplatin"", ""Paraplatin"", ""NSC-241240""], [""vincristine sulfate"", ""Oncovin""]]","[""DB00958"", ""DB00541""]","[""CID10339178"", ""CID5388992""]",brain tumors,Neoplasms of brain or central nervous system,DB00958,DB00541,"['carboplatin', 'Paraplatin', 'NSC-241240']","['vincristine sulfate', 'Oncovin']",25
NCT00002949,"[[""paclitaxel""], [""vinorelbine""]]","[""DB01229"", ""DB00361""]","[""-1"", ""CID60780""]",bladder cancer,Diseases of the urinary system,DB01229,DB00361,['paclitaxel'],['vinorelbine'],1
NCT00002949,"[[""paclitaxel""], [""vinorelbine""]]","[""DB01229"", ""DB00361""]","[""-1"", ""CID60780""]",cervical cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB01229,DB00361,['paclitaxel'],['vinorelbine'],3
NCT00002951,"[[""fluorouracil""], [""hydroxyurea""]]","[""DB00544"", ""DB01005""]","[""-1"", ""CID3657""]",esophageal cancer,Diseases of oesophagus,DB00544,DB01005,['fluorouracil'],['hydroxyurea'],1
NCT00002951,"[[""fluorouracil""], [""hydroxyurea""]]","[""DB00544"", ""DB01005""]","[""-1"", ""CID3657""]",head and neck cancer,Neoplasms of the nervous system,DB00544,DB01005,['fluorouracil'],['hydroxyurea'],1
NCT00003019,"[[""methotrexate"", ""methotrexate"", ""methotrexate""], [""vinblastine sulfate"", ""Velban"", ""vinblastine""]]","[""DB00563"", ""DB00570""]","[""CID126941"", ""CID5388983""]",desmoid tumor,Neoplasms of the circulatory system,DB00563,DB00570,"['methotrexate', 'methotrexate', 'methotrexate']","['vinblastine sulfate', 'Velban', 'vinblastine']",1
NCT00003118,"[[""fluorouracil""], [""cisplatin""]]","[""DB00544"", ""DB00515""]","[""-1"", ""-1""]",esophageal cancer,Diseases of oesophagus,DB00544,DB00515,['fluorouracil'],['cisplatin'],26
NCT00003143,"[[""amifostine""], [""Dihydroxyacetone Phosphate""]]","[""DB01143"", ""DB04326""]","[""CID2141"", ""CID668""]",lymphoma,Neoplasms,DB01143,DB04326,['amifostine'],['Dihydroxyacetone Phosphate'],1
NCT00003178,"[[""idarubicin"", ""Idamycin""], [""cladribine"", ""cladribine"", ""cladribine"", ""Leustatin""]]","[""DB01177"", ""DB00242""]","[""CID42890"", ""CID20279""]",leukemia,Neoplasms,DB01177,DB00242,"['idarubicin', 'Idamycin']","['cladribine', 'cladribine', 'cladribine', 'Leustatin']",3
NCT00003204,"[[""fludarabine"", ""Beneflur"", ""Fludara""], [""cyclophosphamide"", ""cytoxan"", ""cyclophosphamide"", ""cyclophosphamide"", ""Endoxan""]]","[""DB01073"", ""DB00531""]","[""CID30751"", ""CID2907""]",stage iii grade 1 follicular lymphoma,Neoplasms,DB01073,DB00531,"['fludarabine', 'Beneflur', 'Fludara']","['cyclophosphamide', 'cytoxan', 'cyclophosphamide', 'cyclophosphamide', 'Endoxan']",595
NCT00003213,"[[""dexamethasone"", ""dexamethasone""], [""metoclopramide""]]","[""DB01234"", ""DB01233""]","[""CID5743"", ""CID4168""]",nausea and vomiting,"Symptoms, signs or clinical findings, not elsewhere classified",DB01234,DB01233,"['dexamethasone', 'dexamethasone']",['metoclopramide'],1
NCT00003213,"[[""dexamethasone"", ""dexamethasone""], [""granisetron hydrochloride"", ""kytril""]]","[""DB01234"", ""DB00889""]","[""CID5743"", ""-1""]",nausea and vomiting,"Symptoms, signs or clinical findings, not elsewhere classified",DB01234,DB00889,"['dexamethasone', 'dexamethasone']","['granisetron hydrochloride', 'kytril']",6
NCT00003254,"[[""eniluracil""], [""fluorouracil"", ""fluorouracil""]]","[""DB03516"", ""DB00544""]","[""CID43157"", ""-1""]",colorectal cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB03516,DB00544,['eniluracil'],"['fluorouracil', 'fluorouracil']",8
NCT00003255,"[[""topotecan hydrochloride""], [""carboplatin""]]","[""DB01030"", ""DB00958""]","[""CID60699"", ""-1""]",leukemia,Neoplasms,DB01030,DB00958,['topotecan hydrochloride'],['carboplatin'],1
NCT00003281,"[[""topotecan hydrochloride""], [""paclitaxel""]]","[""DB01030"", ""DB01229""]","[""CID60699"", ""-1""]",lung cancer,Neoplasms of the respiratory system,DB01030,DB01229,['topotecan hydrochloride'],['paclitaxel'],2
NCT00003311,"[[""cytarabine""], [""methotrexate""]]","[""DB00987"", ""DB00563""]","[""CID6253"", ""CID126941""]",lymphoma,Neoplasms,DB00987,DB00563,['cytarabine'],['methotrexate'],3
NCT00003323,"[[""flutamide""], [""finasteride""]]","[""DB00499"", ""DB01216""]","[""CID3397"", ""CID57363""]",prostate cancer,Diseases of the male genital system,DB00499,DB01216,['flutamide'],['finasteride'],1
NCT00003323,"[[""flutamide""], [""finasteride""]]","[""DB00499"", ""DB01216""]","[""CID3397"", ""CID57363""]",sexual dysfunction and infertility,Diseases of the female genital system,DB00499,DB01216,['flutamide'],['finasteride'],1
NCT00003369,"[[""Tirapazamine""], [""cisplatin"", ""Platinol""]]","[""DB04858"", ""DB00515""]","[""CID135413511"", ""-1""]",cervical cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB04858,DB00515,['Tirapazamine'],"['cisplatin', 'Platinol']",6
NCT00003377,"[[""paclitaxel""], [""cisplatin""]]","[""DB01229"", ""DB00515""]","[""-1"", ""-1""]",cervical cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB01229,DB00515,['paclitaxel'],['cisplatin'],32
NCT00003416,"[[""melphalan""], [""dexamethasone""]]","[""DB01042"", ""DB01234""]","[""-1"", ""CID5743""]",lymphoma,Neoplasms,DB01042,DB01234,['melphalan'],['dexamethasone'],7
NCT00003564,"[[""procarbazine hydrochloride""], [""isotretinoin"", ""accutanes"", ""isotretinoin""]]","[""DB01168"", ""DB00982""]","[""CID9703"", ""CID5282379""]",brain and central nervous system tumors,Neoplasms,DB01168,DB00982,['procarbazine hydrochloride'],"['isotretinoin', 'accutanes', 'isotretinoin']",1
NCT00003575,"[[""etoposide""], [""ifosfamide""]]","[""DB00773"", ""DB01181""]","[""-1"", ""CID3690""]",lymphoma,Neoplasms,DB00773,DB01181,['etoposide'],['ifosfamide'],2
NCT00003594,"[[""oxaliplatin""], [""irinotecan""]]","[""DB00526"", ""DB00762""]","[""CID11947679"", ""CID60838""]",colorectal cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00526,DB00762,['oxaliplatin'],['irinotecan'],8
NCT00003612,"[[""paclitaxel""], [""carboplatin""]]","[""DB01229"", ""DB00958""]","[""-1"", ""-1""]",breast cancer,Disorders of breast,DB01229,DB00958,['paclitaxel'],['carboplatin'],21
NCT00003613,"[[""carmustine"", ""carmustine"", ""BiCNU"", ""carmustine""], [""O(6)-benzylguanine"", ""O(6)-benzylguanine""]]","[""DB00262"", ""DB11919""]","[""CID2578"", ""-1""]",recurrent cutaneous t-cell non-hodgkin lymphoma,Neoplasms,DB00262,DB11919,"['carmustine', 'carmustine', 'BiCNU', 'carmustine']","['O(6)-benzylguanine', 'O(6)-benzylguanine']",5
NCT00003622,"[[""vinorelbine""], [""paclitaxel""]]","[""DB00361"", ""DB01229""]","[""CID60780"", ""-1""]",prostate cancer,Diseases of the male genital system,DB00361,DB01229,['vinorelbine'],['paclitaxel'],1
NCT00003644,"[[""carboplatin""], [""paclitaxel""]]","[""DB00958"", ""DB01229""]","[""-1"", ""-1""]",ovarian cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00958,DB01229,['carboplatin'],['paclitaxel'],135
NCT00003645,"[[""flutamide"", ""Zoladex"", ""goserelin""], [""leuprolide"", ""bicalutamide"", ""Casodex""]]","[""DB00499"", ""DB00007""]","[""CID3397"", ""CID657181""]",prostate cancer,Diseases of the male genital system,DB00499,DB00007,"['flutamide', 'Zoladex', 'goserelin']","['leuprolide', 'bicalutamide', 'Casodex']",4
NCT00003694,"[[""omacetaxine"", ""CGX-635"", ""omacetaxine mepesuccinate""], [""cytarabine"", ""cytarabine"", ""cytosar"", ""cytarabine"", ""cytarabine"", ""Ara-C""]]","[""DB04865"", ""DB00987""]","[""CID65305"", ""CID6253""]","chronic myelogenous leukemia, bcr-abl1 positive",Neoplasms,DB04865,DB00987,"['omacetaxine', 'CGX-635', 'omacetaxine mepesuccinate']","['cytarabine', 'cytarabine', 'cytosar', 'cytarabine', 'cytarabine', 'Ara-C']",2
NCT00003782,"[[""docetaxel"", ""Taxotere""], [""doxorubicin"", ""Adriamycin""]]","[""DB01248"", ""DB00997""]","[""CID148124"", ""-1""]",breast cancer,Disorders of breast,DB01248,DB00997,"['docetaxel', 'Taxotere']","['doxorubicin', 'Adriamycin']",2
NCT00003816,"[[""busulfan""], [""cyclophosphamide""]]","[""DB01008"", ""DB00531""]","[""CID2478"", ""-1""]",leukemia,Neoplasms,DB01008,DB00531,['busulfan'],['cyclophosphamide'],108
NCT00003816,"[[""busulfan""], [""cyclophosphamide""]]","[""DB01008"", ""DB00531""]","[""CID2478"", ""-1""]",nonmalignant neoplasm,Neoplasms of brain or central nervous system,DB01008,DB00531,['busulfan'],['cyclophosphamide'],2
NCT00003816,"[[""cyclophosphamide""], [""etoposide""]]","[""DB00531"", ""DB00773""]","[""-1"", ""-1""]",nonmalignant neoplasm,Neoplasms of brain or central nervous system,DB00531,DB00773,['cyclophosphamide'],['etoposide'],1
NCT00003816,"[[""melphalan""], [""fludarabine""]]","[""DB01042"", ""DB01073""]","[""-1"", ""-1""]",leukemia,Neoplasms,DB01042,DB01073,['melphalan'],['fludarabine'],110
NCT00003816,"[[""melphalan""], [""fludarabine""]]","[""DB01042"", ""DB01073""]","[""-1"", ""-1""]",nonmalignant neoplasm,Neoplasms of brain or central nervous system,DB01042,DB01073,['melphalan'],['fludarabine'],1
