id,drug_names,drugbank_identifier,pubchem_identifier,conditions,ICD_top_level_name,drugbank_id_A,drugbank_id_B,Combination_Count
NCT00000134,"[[""foscarnet"", ""Foscavir""], [""ganciclovir"", ""Cytovene""]]","[""DB00529"", ""DB01004""]","[""-1"", ""-1""]",hiv infections,Diseases of the genitourinary system,DB00529,DB01004,4
NCT00000134,"[[""foscarnet"", ""Foscavir""], [""ganciclovir"", ""Cytovene""]]","[""DB00529"", ""DB01004""]","[""-1"", ""-1""]",cytomegalovirus retinitis,Disorders of the visual organs,DB00529,DB01004,3
NCT00000372,"[[""cycloserine""], [""clozapine""]]","[""DB00260"", ""DB00363""]","[""CID6234"", ""CID2818""]",schizophrenia,Schizophrenia or other primary psychotic disorders,DB00260,DB00363,1
NCT00000451,"[[""sertraline"", ""Zoloft""], [""naltrexone"", ""ReVia""]]","[""DB01104"", ""DB00704""]","[""CID68617"", ""CID5360515""]",alcoholism,Disorders due to substance use or addictive behaviours,DB01104,DB00704,3
NCT00001481,"[[""estradiol""], [""progesterone""]]","[""DB00783"", ""DB00396""]","[""CID5757"", ""CID5994""]",postpartum depression,Symptomatic and course presentations for mood episodes in mood disorders,DB00783,DB00396,1
NCT00001626,"[[""cyclosporine""], [""cyclophosphamide""]]","[""DB00091"", ""DB00531""]","[""CID5284373"", ""-1""]",severe aplastic anemia (saa),Anaemias or other erythrocyte disorders,DB00091,DB00531,4
NCT00001832,"[[""cyclophosphamide"", ""cytoxan""], [""fludarabine"", ""Fludara""]]","[""DB00531"", ""DB01073""]","[""CID2907"", ""CID30751""]",melanoma,Malignant neoplasms involving the skin,DB00531,DB01073,72
NCT00001832,"[[""cyclophosphamide"", ""cytoxan""], [""fludarabine"", ""Fludara""]]","[""DB00531"", ""DB01073""]","[""CID2907"", ""CID30751""]",neoplasm metastasis,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00531,DB01073,105
NCT00001880,"[[""cyclosporine"", ""cyclosporine""], [""methotrexate"", ""methotrexate""]]","[""DB00091"", ""DB00563""]","[""CID5284373"", ""CID126941""]",neoplasm metastasis,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00091,DB00563,1
NCT00002550,"[[""cisplatin""], [""etoposide""]]","[""DB00515"", ""DB00773""]","[""-1"", ""-1""]",lung cancer,Neoplasms of the respiratory system,DB00515,DB00773,54
NCT00002583,"[[""cisplatin""], [""vinorelbine""]]","[""DB00515"", ""DB00361""]","[""-1"", ""CID60780""]",lung cancer,Neoplasms of the respiratory system,DB00515,DB00361,11
NCT00002594,"[[""cyclophosphamide"", ""cytoxan"", ""Investigational New Drugs""], [""melphalan"", ""melphalan"", ""melphalan"", ""melphalan"", ""Alkeran""]]","[""DB00531"", ""DB01042""]","[""CID2907"", ""-1""]",brain tumor,Neoplasms of brain or central nervous system,DB00531,DB01042,2
